,precision,recall,f1-score,support
greenhouse,1.0,1.0,1.0,20.0
bowling,1.0,1.0,1.0,20.0
computerroom,0.9,1.0,0.9473684210526316,18.0
pantry,0.9047619047619048,0.95,0.9268292682926829,20.0
florist,0.8636363636363636,1.0,0.9268292682926829,19.0
laundromat,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0
grocerystore,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0
cloister,0.8636363636363636,0.95,0.9047619047619048,20.0
gym,0.85,0.9444444444444444,0.8947368421052632,18.0
gameroom,0.8260869565217391,0.95,0.8837209302325583,20.0
inside_subway,0.8636363636363636,0.9047619047619048,0.8837209302325582,21.0
studiomusic,0.85,0.8947368421052632,0.8717948717948718,19.0
mall,1.0,0.75,0.8571428571428571,20.0
inside_bus,0.8636363636363636,0.8260869565217391,0.8444444444444444,23.0
meeting_room,0.8260869565217391,0.8636363636363636,0.8444444444444444,22.0
casino,0.75,0.9473684210526315,0.8372093023255814,19.0
videostore,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0
church_inside,0.8823529411764706,0.7894736842105263,0.8333333333333333,19.0
buffet,0.8095238095238095,0.85,0.8292682926829269,20.0
closet,0.875,0.7777777777777778,0.823529411764706,18.0
fastfood_restaurant,0.7272727272727273,0.9411764705882353,0.8205128205128205,17.0
garage,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
poolinside,0.8823529411764706,0.75,0.8108108108108107,20.0
nursery,0.9333333333333333,0.7,0.8,20.0
library,0.875,0.7368421052631579,0.7999999999999999,19.0
stairscase,0.7391304347826086,0.85,0.7906976744186046,20.0
kindergarden,0.8333333333333334,0.75,0.7894736842105262,20.0
hospitalroom,0.875,0.7,0.7777777777777777,20.0
restaurant_kitchen,0.7307692307692307,0.8260869565217391,0.7755102040816326,23.0
hairsalon,0.8333333333333334,0.7142857142857143,0.7692307692307692,21.0
laboratorywet,0.8,0.7272727272727273,0.761904761904762,22.0
bookstore,0.6956521739130435,0.8,0.7441860465116279,20.0
tv_studio,0.7222222222222222,0.7647058823529411,0.7428571428571428,17.0
kitchen,0.8235294117647058,0.6666666666666666,0.7368421052631577,21.0
movietheater,0.8125,0.65,0.7222222222222223,20.0
warehouse,0.8666666666666667,0.6190476190476191,0.7222222222222222,21.0
bathroom,0.6666666666666666,0.7777777777777778,0.717948717948718,18.0
concert_hall,0.6818181818181818,0.75,0.7142857142857143,20.0
clothingstore,0.75,0.6666666666666666,0.7058823529411765,18.0
restaurant,0.7,0.7,0.7,20.0
elevator,0.6071428571428571,0.8095238095238095,0.6938775510204083,21.0
classroom,0.7857142857142857,0.6111111111111112,0.6875000000000001,18.0
waitingroom,0.7647058823529411,0.6190476190476191,0.6842105263157895,21.0
corridor,0.9166666666666666,0.5238095238095238,0.6666666666666667,21.0
locker_room,0.5925925925925926,0.7619047619047619,0.6666666666666666,21.0
trainstation,0.5517241379310345,0.8,0.6530612244897959,20.0
operating_room,0.5833333333333334,0.7368421052631579,0.6511627906976745,19.0
winecellar,0.6363636363636364,0.6666666666666666,0.6511627906976744,21.0
subway,0.6842105263157895,0.6190476190476191,0.6500000000000001,21.0
toystore,0.7222222222222222,0.5909090909090909,0.65,22.0
livingroom,0.6666666666666666,0.6,0.631578947368421,20.0
auditorium,0.52,0.7222222222222222,0.6046511627906976,18.0
children_room,0.4827586206896552,0.7777777777777778,0.5957446808510638,18.0
bedroom,0.6875,0.5238095238095238,0.5945945945945946,21.0
prisoncell,0.5416666666666666,0.65,0.5909090909090908,20.0
jewelleryshop,0.6875,0.5,0.5789473684210527,22.0
dentaloffice,0.5416666666666666,0.6190476190476191,0.5777777777777778,21.0
artstudio,0.6666666666666666,0.5,0.5714285714285715,20.0
office,0.7142857142857143,0.47619047619047616,0.5714285714285714,21.0
airport_inside,0.5,0.65,0.5652173913043479,20.0
deli,0.55,0.5789473684210527,0.5641025641025641,19.0
bar,0.6428571428571429,0.5,0.5625000000000001,18.0
dining_room,0.4375,0.7777777777777778,0.56,18.0
bakery,0.6,0.47368421052631576,0.5294117647058824,19.0
lobby,0.6,0.45,0.5142857142857143,20.0
shoeshop,0.7,0.3684210526315789,0.48275862068965514,19.0
museum,0.44,0.4782608695652174,0.4583333333333333,23.0
